cap.4383535	cap.4386223	cap.4388092	cap.4391097	cap.4391244	cap.4395785	pcp.4311574	pcp.4378760	pcp.4383785	pcp.4385354	pcp.4386363	pcp.4388658
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum	0	0	0	0	0	0	0	0.0539315274541137	0	0	0.0689932668091056	0.0498172305445781
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_ferrooxidans	0	0	0	0	0	0	0	0	0	0	0	0.0498172305445781
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum_ferriphilum	0	0	0	0	0	0	0	0.0539315274541137	0	0	0.0689932668091056	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira	0	0	0	0	0	0	0.217335379859864	0	0	0.0607536551677211	0.344966334045528	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Candidatus_Nitrospira_inopinata	0	0	0	0	0	0	0	0	0	0	0.0689932668091056	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_japonica	0	0	0	0	0	0	0	0	0	0.0607536551677211	0.0689932668091056	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_sp._KM1	0	0	0	0	0	0	0.0724451266199545	0	0	0	0.0689932668091056	0
k__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira_moscoviensis	0	0	0	0	0	0	0.144890253239909	0	0	0	0.137986533618211	0
k__Bacteria|f__Candidatus_Chazhemtobacteraceae	0	0	0	0	0	0	0.144890253239909	0	0	0	0	0
k__Bacteria|f__Candidatus_Chazhemtobacteraceae|g__Candidatus_Chazhemtobacterium	0	0	0	0	0	0	0.144890253239909	0	0	0	0	0
k__Bacteria|f__Candidatus_Chazhemtobacteraceae|g__Candidatus_Chazhemtobacterium|s__Candidatus_Chazhemtobacterium_aquaticus	0	0	0	0	0	0	0.144890253239909	0	0	0	0	0
k__Bacteria|p__Candidatus_Omnitrophica	0	0	0	0	0	0	0.0724451266199545	0	0	0.0607536551677211	0	0
k__Bacteria|p__Candidatus_Omnitrophica|g__Candidatus_Vampirococcus	0	0	0	0	0	0	0.0724451266199545	0	0	0.0607536551677211	0	0
k__Bacteria|p__Candidatus_Omnitrophica|g__Candidatus_Vampirococcus|s__Candidatus_Vampirococcus_archaeovorus	0	0	0	0	0	0	0.0724451266199545	0	0	0.0607536551677211	0	0
k__Bacteria|c__Candidatus_Babeliae	0	0	0	0	0.0277708705451427	0	0	0	0	0.0303768275838605	0	0
